journal_name;area
Colloids and Interfaces;PS
Colloids and Surfaces;PS
Colloids and Surfaces A: Physicochemical and Engineering Aspects;PS
Colloids and Surfaces B: Biointerfaces;LS, PS & HS
Colloquia;SSH
Colloquia Germanica;SSH
Colloquia Humanistica;SSH
Colloquia Maruliana;SSH
Colloquium Geographicum;SSH
Colloquium Mathematicum;PS
Colombia Forestal;LS & PS
Colombia Internacional;SSH
Colombia Medica;HS
Colombian Journal of Anesthesiology;HS
Colon and Rectum;HS
Colonial Latin American Historical Review;SSH
Colonial Latin American Review;SSH
Colonial Waterbirds;LS & PS
Coloproctology;HS
Coloquio-Letras;SSH
Color Research and Application;SSH & PS
Colorado Medicine;HS
Colorado nurse;HS
Colorado School of Mines Research Foundation Inc., Mineral Industries Bulletin;PS
Coloration Technology;PS
Colorectal Disease;HS
Colourage;SSH & PS
Colposcopy and Gynecologic Laser Surgery;HS
Columbia human rights law review;HS
Columbia Journal of Law and Social Problems;SSH
Columbia Journal of Transnational Law;SSH
Columbia Journal of World Business;HS
Columbia Law Review;SSH
Columbia Studies in the Classical Tradition;SSH
Coluna/ Columna;HS
Combinatorial Chemistry and High Throughput Screening;LS, PS & HS
Combinatorica;PS
Combinatorics Probability and Computing;PS
Combustion and Flame;PS
Combustion Science and Technology;PS
Combustion Theory and Modelling;PS
Combustion, Explosion and Shock Waves;PS
Comechingonia;SSH
Comedy Studies;SSH
Comics Grid;SSH
Comitatus;SSH
Comma;SSH
Commentaria;SSH
Commentaria Classica;SSH
Commentarii Mathematici Helvetici;PS
Commentary;SSH
Commentary on the United Nations Convention on the Rights of the Child;SSH
Commentationes Mathematicae Universitatis Carolinae;PS
Comments on Inorganic Chemistry;PS
Comments on Toxicology;LS
Commercial Motor;PS
CommIT Journal;PS
Common factor (Stoughton, Mass.);HS
Common Knowledge;SSH
Common Market Law Review;SSH
Commonweal (New York, N.Y.);HS
Commonwealth and Comparative Politics;SSH
Commonwealth Forestry Review;SSH
Commonwealth Law Bulletin;SSH
Communicable disease and public health / PHLS;HS
Communicable disease report. CDR review;HS
Communicable disease report. CDR weekly;HS
Communicable diseases intelligence;HS
Communicable diseases intelligence (2018);HS
Communicable diseases intelligence quarterly report;HS
Communicating nursing research;HS
Communicatio;SSH
Communication and Critical/ Cultural Studies;SSH
Communication and Democracy;SSH
Communication and Management;SSH
Communication and Medicine;HS
Communication and Sport;SSH
Communication and the Public;SSH
Communication Booknotes Quarterly;SSH
Communication Disorders Quarterly;SSH & HS
Communication Education;SSH
Communication in Biomathematical Sciences;LS, PS & HS
Communication Law and Policy;SSH
Communication Methods and Measures;SSH
Communication Monographs;SSH
Communication Quarterly;SSH
Communication Reports;SSH
Communication Research;SSH
Communication Research and Practice;SSH & PS
Communication Research Reports;SSH
Communication Review;SSH
Communication Sciences and Disorders;SSH & HS
Communication Studies;SSH
Communication Teacher;SSH
Communication Theory;SSH
Communication Today;SSH
Communication, Culture and Change in Asia;SSH
Communication, Culture and Critique;SSH & PS
Communications;SSH
Communications - Geological Survey of Namibia;PS
Communications - Scientific Letters of the University of Zilina;SSH & PS
Communications and Control Engineering;PS
Communications Biology;LS & HS
Communications Chemistry;LS & PS
Communications Earth and Environment;PS
Communications for Statistical Applications and Methods;SSH & PS
Communications in agricultural and applied biological sciences;HS
Communications in Algebra;PS
Communications in Analysis and Geometry;SSH & PS
Communications in Applied Analysis;PS
Communications in Applied and Industrial Mathematics;PS
Communications in Applied Mathematics and Computational Science;PS
Communications in Applied Numerical Methods;PS
Communications in behavioral biology. Part A: [Original articles];HS
Communications in Biometry and Crop Science;LS & SSH
Communications in Combinatorics and Optimization;PS
Communications in Computational Physics;PS
Communications in Computer and Information Science;PS
Communications in Contemporary Mathematics;PS
Communications in Information Literacy;SSH
Communications in Mathematical Analysis;PS
Communications in Mathematical Biology and Neuroscience;LS & PS
Communications in Mathematical Physics;PS
Communications in Mathematical Sciences;PS
Communications in Mathematics;PS
Communications in Mathematics and Statistics;PS
Communications in Nonlinear Science and Numerical Simulation;PS
Communications in Number Theory and Physics;PS
Communications in Numerical Methods in Engineering;PS
Communications in Partial Differential Equations;PS
Communications in Science and Technology;PS
Communications in Soil Science and Plant Analysis;LS
Communications in Statistics;PS
Communications in Statistics - Theory and Methods;PS
Communications in Statistics Case Studies Data Analysis and Applications;PS
Communications in Statistics Part B: Simulation and Computation;PS
Communications in Statistics. Part C: Sequential Analysis;PS
Communications in Statistics. Part C: Stochastic Models;PS
Communications in Theoretical Physics;PS
Communications International (London);PS
Communications Law;SSH
Communications Materials;PS
Communications News;SSH
Communications of the ACM;PS
Communications of the Association for Information Systems;PS
Communications of the Korean Mathematical Society;PS
Communications on Applied Nonlinear Analysis;PS
Communications on Hydraulic & Geotechnical Engineering - Delft University of Technology;PS
Communications on Pure and Applied Analysis;PS
Communications on Pure and Applied Mathematics;PS
Communications on Stochastic Analysis;PS
Communications Physics;PS
Communications Society;PS
Communicative and Integrative Biology;LS
Communio;SSH
Communio Viatorum;SSH
Communiquer;SSH
Communist Affairs;SSH
Communist and Post-Communist Studies;SSH
Communist Economies;PS
Communist Economies and Economic Transformation;SSH
Communitas;SSH
Community and Junior College Libraries;SSH
Community Care;HS
Community College Journal of Research and Practice;SSH
Community College Review;SSH
Community Dental Health;HS
Community Dentistry and Oral Epidemiology;HS
Community Development Journal;SSH
Community Development: Journal of the Community Development Society;SSH
Community Ecology;LS & PS
Community Genetics;HS
Community Health;HS
Community Health Studies;HS
Community Medicine;HS
Community Mental Health Journal;SSH & HS
Community mental health review;SSH
Community nurse;HS
Community Oncology;HS
Community outlook;HS
Community Practitioner;HS
Community Psychology in Global Perspective.;SSH
Community, Environment and Disaster Risk Management;PS
Community, Work and Family;SSH
Commutation and Transmission;PS
Comparative American Studies;SSH
Comparative and Continental Philosophy;SSH
Comparative and Functional Genomics;LS
Comparative and general pharmacology;HS
Comparative Biochemistry and Physiology;PS
Comparative Biochemistry and Physiology - A Physiology;HS
Comparative Biochemistry and Physiology - B Biochemistry and Molecular Biology;LS
Comparative Biochemistry and Physiology - C Pharmacology Toxicology and Endocrinology;LS
Comparative Biochemistry and Physiology -- Part B: Biochemistry and;LS & HS
Comparative Biochemistry and Physiology - Part D: Genomics and Proteomics;LS
Comparative Biochemistry and Physiology, A: Comparative Physiology;HS
Comparative Biochemistry and Physiology, Part C;LS, PS & HS
Comparative biochemistry and physiology. Part A, Molecular & integrative physiology;LS
Comparative Biochemistry and Physiology. Part C, Pharmacology, Toxicology & Endocrinology;HS
Comparative Biochemistry and Physiology. Part C: Comparative;LS
Comparative Clinical Pathology;HS
Comparative Cognition and Behavior Reviews;LS & HS
Comparative Critical Studies;SSH
Comparative Cytogenetics;LS
Comparative Drama;SSH
Comparative Economic Research;SSH
Comparative economic studies;SSH
Comparative Education;SSH
Comparative Education Review;SSH
Comparative European Politics;SSH
Comparative Exercise Physiology;LS & HS
Comparative Haematology International;HS
Comparative Hepatology;HS
Comparative Immunology, Microbiology and Infectious Diseases;LS & HS
Comparative Law Review;SSH
Comparative Legal History;SSH
Comparative Legilinguistics;SSH
Comparative Literature;SSH
Comparative Literature Studies;SSH
Comparative Literature: East and West;SSH
Comparative Medicine;LS & HS
Comparative Medicine East and West;HS
Comparative Migration Studies;SSH
Comparative Oriental Manuscript Studies Bulletin;SSH
Comparative Parasitology;LS
Comparative Political Studies;SSH
Comparative Politics;SSH
Comparative Population Studies;SSH
Comparative Social Research;SSH
Comparative Sociology;SSH
Comparative Strategy;SSH
Comparative Studies in Society and History;SSH
Comparative Studies of South Asia, Africa and the Middle East;SSH
Compare;SSH
Compass;LS
Compass of Sigma, Gamma, Epsilon;PS
COMPEL - The International Journal for Computation and Mathematics in Electrical and Electronic Engineering;PS
Compendia Rerum Iudaicarum ad Novum Testamentum;SSH
Compendium (Newtown, Pa.);HS
Compendium (Newtown, Pa.). Supplement;HS
Compendium (Yardley, PA);SSH & HS
Compendium of continuing education in dentistry (Jamesburg, N.J. : 1995);HS
Compendium of continuing education in dentistry. (Jamesburg, N.J. : 1995). Supplement;HS
Compendium on Continuing Education for the Practicing Veterinarian;SSH & HS
Compensation and Benefits Review;HS
Compensation review;HS
Competition and Change;SSH
Competition and Regulation in Network Industries;SSH
Competition Law Journal;SSH
Competition Policy International;SSH
Competitive Government: Public Private Partnerships;SSH
Competitiveness Review;SSH
Compilation and Translation Review;SSH
Complement;LS & HS
Complement and Inflammation;LS & HS
Complementary Health Practice Review;HS
Complementary Medical Research;HS
Complementary Medicine Research;HS
Complementary Therapies in Clinical Practice;HS
Complementary Therapies in Medicine;HS
Complementary Therapies in Nursing and Midwifery;HS
Complex Adaptive Systems Modeling;PS
Complex Analysis and Operator Theory;PS
Complex Issues of Cardiovascular Diseases;HS
Complex Manifolds;PS
Complex Systems;PS
Complex Systems and Complexity Science;PS
Complex Variables and Elliptic Equations;PS
Complexity;PS
Complexity International;PS
Complexus;LS
Compliance Engineering;PS
Compliance Magazine;PS
Complications in Surgery;HS
Complutum;SSH
Components;PS
Composite Interfaces;PS
Composite Materials Series;PS
Composite Polymers;PS
Composite Structures;PS
Composites;PS
Composites Communications;PS
Composites Engineering;PS
Composites International;PS
Composites Manufacturing;PS
Composites Part A: Applied Science and Manufacturing;PS
Composites Part B: Engineering;PS
Composites Part C: Open Access;PS
Composites Science and Technology;PS
Composites Technology;PS
Composites Technology Review;PS
Composites Theory and Practice;PS
Composites: Mechanics, Computations, Applications;PS
Compositio Mathematica;PS
Compost Science;PS & HS
Compost Science and Utilization;LS & PS
Compost Science-Land Utilization;PS & HS
Compound Semiconductor;PS
Comprehensive Analytical Chemistry;PS
Comprehensive Biochemistry;LS & SSH
Comprehensive Chemical Kinetics;PS
Comprehensive Child and Adolescent Nursing;HS
Comprehensive Ophthalmology Update;HS
Comprehensive Physiology;LS & HS
Comprehensive Psychiatry;SSH & HS
Comprehensive Results in Social Psychology;SSH
Comprehensive Reviews in Food Science and Food Safety;LS
Comprehensive Series in Photochemical and Photobiological Sciences;LS & PS
Comprehensive Series in Photosciences;LS & HS
Comprehensive Therapy;HS
Comprendre;SSH
Comptabilite Controle Audit;SSH
Comptes Rendus - Academie des Sciences, Serie II: Sciences de la Terre, et des Planetes;LS & PS
Comptes Rendus - Academie des Sciences, Serie III: Sciences de la Vie;LS & PS
Comptes Rendus - Biologies;LS & HS
Comptes Rendus - Geoscience;PS
Comptes Rendus - Mecanique;PS
Comptes Rendus - Palevol;PS
Comptes Rendus Chimie;PS
Comptes Rendus de Academie des Sciences, Paris, Serie II;PS
Comptes Rendus de l 'Academie Bulgare des Sciences;Multi
Comptes Rendus de l'Academie de Sciences - Serie IIb: Mecanique;PS
Comptes Rendus de l'Academie de Sciences - Serie IIb: Mecanique, Physique, Chimie, Astronomie;PS
Comptes Rendus de l'Academie des Sciences - Series I: Mathematics;PS
Comptes Rendus de l'Academie des Sciences - Series IIc: Chemistry;PS
Comptes Rendus de l'Academie des Sciences - Series IV: Physics, Astrophysics;PS
Comptes Rendus de l'Academie des Sciences, Paris, Serie D;PS
Comptes rendus de l'Association des anatomistes;HS
Comptes Rendus de Therapeutique et de Pharmacologie Clinique;LS & HS
Comptes Rendus des Seances de la Academie des Inscriptions et Belles Lettres;SSH
Comptes Rendus des Seances de la Societe de Biologie et de Ses Filiales;LS
Comptes rendus des travaux du Laboratoire Carlsberg. Série;HS
Comptes rendus des travaux du Laboratoire Carlsberg. Série chimique;HS
Comptes rendus des travaux du Laboratoire Carlsberg. Série physiologique;HS
Comptes rendus hebdomadaires des séances de l'Académie des sciences;HS
Comptes Rendus Mathematique;PS
Comptes Rendus Physique;PS
Comptes Rendus, Hebdomadaires des Seances de l'Academie des Sciences, Serie B;PS
Comptes-rendus des travaux du Laboratoire Carlsberg;HS
Compusoft;PS
Comput Des;PS
Computability;PS
Computacion y Sistemas;PS
Computation;PS
Computational and Applied Mathematics;PS
Computational and Experimental Methods;PS
Computational and Experimental Methods in Structures;PS
Computational and Mathematical Biophysics;LS & PS
Computational and Mathematical Methods;PS
Computational and Mathematical Methods in Medicine;LS, PS & HS
Computational and Mathematical Organization Theory;SSH & PS
Computational and Structural Biotechnology Journal;LS & PS
Computational and Theoretical Chemistry;LS & PS
Computational and Theoretical Polymer Science;PS
Computational Biology and Chemistry;LS & PS
Computational Brain and Behavior;SSH
Computational Complexity;PS
Computational Condensed Matter;PS
Computational Continuum Mechanics;PS
Computational Economics;SSH & PS
Computational Fluid and Solid Mechanics 2003;PS
Computational Geometry: Theory and Applications;PS
Computational Geosciences;PS
Computational Intelligence;PS
Computational Intelligence and Neuroscience;LS, PS & HS
Computational Linguistics;SSH & PS
Computational Management Science;SSH
Computational Materials Science;PS
Computational Mathematics and Mathematical Physics;PS
Computational Mathematics and Modeling;PS
Computational Mechanics;PS
Computational Methods and Function Theory;PS
Computational Methods in Applied Mathematics;PS
Computational Methods in Applied Sciences;PS
Computational Optimization and Applications;PS
Computational Particle Mechanics;PS
Computational Science and Discovery;PS
Computational Social Networks;PS
Computational Statistics;SSH & PS
Computational Statistics and Data Analysis;PS
Computational systems bioinformatics / Life Sciences Society. Computational Systems Bioinformatics Conference;HS
Computational Thermal Sciences;PS
Computational Toxicology;LS & PS
Computational Visual Media;PS
Computer;PS
Computer Aided Chemical Engineering;PS
Computer Aided Geometric Design;PS
Computer Aided Surgery;PS & HS
Computer Animation and Virtual Worlds;PS
Computer Applications in Engineering Education;SSH & PS
Computer Applications in the Biosciences;HS
Computer Applications in the Laboratory;HS
Computer Assisted Language Learning;SSH & PS
Computer Assisted Mechanics and Engineering Sciences;PS
Computer Assisted Methods in Engineering and Science;PS
Computer Assisted Surgery;PS & HS
Computer Bulletin (London);PS
Computer Communication Review;PS
Computer Communications;PS
Computer Fraud and Security;SSH & PS
Computer Fraud and Security Bulletin;SSH & PS
Computer Graphics (ACM);PS
Computer Graphics and Image Processing;PS
Computer Graphics Forum;PS
Computer Graphics World;PS
Computer Integrated Manufacturing Systems;PS
Computer Journal;PS
Computer Languages;PS
Computer Languages, Systems and Structures;PS
Computer Law and Security Review;SSH & PS
Computer Methods and Programs in Biomedicine;PS & HS
Computer Methods in Applied Mechanics and Engineering;PS
Computer Methods in Biomechanics and Biomedical Engineering;PS & HS
Computer Methods in Biomechanics and Biomedical Engineering: Imaging and Visualization;PS & HS
Computer Methods in Materials Science;PS
Computer Methods in the Geosciences;PS
Computer Modeling and Simulation in Engineering;PS
Computer Modelling and New Technologies;PS
Computer Music Journal;SSH & PS
Computer Networks;PS
Computer Networks (1976);PS
Computer Networks and ISDN Systems;PS
Computer Optics;PS
Computer Physics Communications;PS
Computer Physics Reports;PS
Computer Programs in Biomedicine;HS
Computer Research and Modeling;PS
Computer Science;PS
Computer Science - Research and Development;PS
Computer Science and Information Systems;PS
Computer Science Education;SSH & PS
Computer Science in Economics and Management;SSH
Computer Science Journal of Moldova;PS
Computer Science Research Notes;HS
Computer Science Review;PS
Computer Security Journal;PS
Computer Software;PS
Computer Speech and Language;PS
Computer Standards and Interfaces;SSH & PS
Computer Supported Cooperative Work;PS
Computer Systems Science and Engineering;PS
Computer Technology Review;PS
Computer Vision and Image Understanding;PS
Computer Vision, Graphics, and Image Processing;PS
Computer-Aided Civil and Infrastructure Engineering;PS
Computer-Aided Design and Applications;PS
Computer-Aided Engineering;PS
Computer-Aided Engineering Journal;PS
Computerized Medical Imaging and Graphics;PS & HS
Computerized Radiology;HS
Computerized Tomography;PS & HS
Computers;PS
Computers & Standards;PS
Computers and Artificial Intelligence;PS
Computers and Biomedical Research;HS
Computers and Chemical Engineering;PS
Computers and Chemistry;LS & PS
Computers and Composition;SSH & PS
Computers and Concrete;PS
Computers and Education;SSH & PS
Computers and Education: Artificial Intelligence;SSH & PS
Computers and Electrical Engineering;PS
Computers and Electronics in Agriculture;LS & PS
Computers and Fluids;PS
Computers and Geosciences;PS
Computers and Geotechnics;PS
Computers and Graphics;PS
Computers and Graphics: X;PS
Computers and Industrial Engineering;PS
Computers and Mathematics with Applications;PS
Computers and Mathematics with Applications;PS
Computers and Operations Research;SSH & PS
Computers and Security;SSH & PS
Computers and Structures;PS
Computers and the Humanities;SSH
Computers and translation;PS
Computers and Urban Society;PS
Computers in Biology and Medicine;PS & HS
Computers in Education Journal;SSH & PS
Computers in Entertainment;PS
Computers in healthcare;HS
Computers in hospitals;HS
Computers in Human Behavior;SSH & PS
Computers in Human Behavior Reports;LS, SSH & PS
Computers in Human Services;HS
Computers in Industry;PS
Computers in Libraries;SSH & PS
Computers in Nursing;PS & HS
Computers in Physics;PS
Computers in the Schools;SSH & PS
Computers, Environment and Urban Systems;SSH & PS
Computers, Materials and Continua;PS
Computertomographie Sonographie;HS
Computes Rendus - Academie des Sciences, Serie II: Mecanique, Physique, Chimie, Astronomie;PS
Computing (Vienna/New York);PS
Computing and Control Engineering Journal;PS
Computing and Informatics;PS
Computing and Software for Big Science;PS
Computing and Visualization in Science;PS
Computing in Science and Engineering;PS
Computing Surveys;PS
Computing systems;PS
Computing systems in engineering;PS
ComTec;PS
Comunicacao e Sociedade;SSH
Comunicacao Midia e Consumo;SSH
Comunicacion y Sociedad;SSH
Comunicacion y Sociedad (Mexico);SSH
Comunicacoes Geologicas;PS
Comunicar;SSH
Comunicata Scientiae;LS
Comunicazione Politica;SSH
Comunicazioni Sociali;SSH
Con A de Animacion;SSH
Conatus - Journal of Philosophy;SSH
CONCAWE Reports;PS
CONCAWE Review;PS
Concentric;SSH
Concentric: Studies in Linguistics;SSH
Concepts in immunopathology;HS
Concepts in Magnetic Resonance;PS
Concepts in Magnetic Resonance Part A: Bridging Education and Research;PS
Concepts in Magnetic Resonance Part B: Magnetic Resonance Engineering;PS & HS
Conceptual History and Chinese Linguistics;SSH
Concern (Regina, Sask.);HS
Concrete (London);PS
Concrete Construction - World of Concrete;PS
Concrete Engineering International;PS
Concrete International;PS
Concrete Operators;PS
Concrete Plant and Production;PS
Concrete Producer;PS
Concrete Works International;PS
Concurrences;SSH
Concurrency Computation Practice and Experience;PS
Concurrency Practice and Experience;PS
Concurrent Engineering Research and Applications;PS
Concurrent Systems Engineering Series;PS
Concussion;LS & HS
Condensed Matter;PS
Condensed Matter Physics;PS
Conditional reflex;LS, SSH & HS
Condor;LS
Configurations;SSH
Confinia Cephalalgica;LS & HS
Confinia neurologica;HS
Conflict and Health;SSH & HS
Conflict and Society;SSH
Conflict Management and Peace Science;SSH
Conflict Resolution Quarterly;SSH
Conflict, Security and Development;SSH
Confluences Mediterranee;SSH
Confluencia;SSH
Confluentes Mathematici;PS
Confluenze;SSH
Conformal Geometry and Dynamics;PS
Confrontation;SSH
Confrontations Psychiatriques;HS
Congenital Anomalies;LS & HS
Congenital Heart Disease;HS
Congestive Heart Failure;HS
Congress and the Presidency;SSH
Connaissance des Arts;SSH
Connecticut Law Review;HS
Connecticut Medicine;HS
Connecticut nursing news (Meriden, Conn. : 1980);HS
Connecticut state medical journal;HS
Connection Science;PS
Connections;SSH & PS
Connective Tissue;HS
Connective Tissue Research;LS & HS
Connector Specifier;PS
Connexe;SSH
Connexions;SSH
Conradiana;SSH
Conscience (Washington, D.C.);HS
Consciousness and Cognition;SSH
Conservacion Colombiana;LS & PS
Conservar Patrimonio;SSH
Conservation and Management of Archaeological Sites;SSH
Conservation and Recycling;PS
Conservation and Society;LS & PS
Conservation Biology;LS & PS
Conservation Ecology;PS
Conservation Evidence;LS & PS
Conservation Genetics;LS
Conservation Genetics Resources;LS
Conservation Letters;LS & PS
Conservation Physiology;LS & PS
Conservation Science and Practice;PS
Conservation Science in Cultural Heritage;SSH
Conservation Science Western Australia;PS
Conservative Judaism;HS
Constitutional Law Library;SSH
Constitutional Political Economy;SSH
Constitutional Review;SSH
Constraints;PS
Construction and Building Materials;PS
Construction Economics and Building;SSH
Construction History;SSH & PS
Construction Innovation;PS
Construction Management and Economics;SSH & PS
Construction Repair;PS
Construction Specifier;PS
Constructional Approaches to Language;SSH
Constructions and Frames;SSH
Constructive Approximation;PS
Constructive Mathematical Analysis;PS
Constructivist Foundations;LS & SSH
Consultant;HS
Consultant Pharmacist;HS
Consulting engineer Barrington;PS
Consulting Psychology Journal;SSH
Consulting-Specifying Engineer;PS
Consumer markets abroad;HS
Consumer reports;HS
Consumption Markets and Culture;SSH
Contact and Intraocular Lens Medical Journal;HS
Contact Dermatitis;HS
Contact Lens;HS
Contact Lens and Anterior Eye;HS
Contact Lens Journal;HS
Contact Lens Medical Bulletin;HS
Contact point;HS
Contactologia;HS
Contaduria y Administracion;SSH
Contagion: Journal of Violence, Mimesis, and Culture;SSH
Containerisation International;PS
Contemporanea;SSH
Contemporary Accounting Research;SSH
Contemporary administrator;HS
Contemporary administrator for long-term care;HS
Contemporary Arab Affairs;SSH
Contemporary British History;SSH
Contemporary Buddhism;SSH
Contemporary Chinese Political Economy and Strategic Relations;SSH
Contemporary Chinese Thought;SSH
Contemporary City;SSH
Contemporary Clinical Dentistry;HS
Contemporary Clinical Gynecology and Obstetrics;HS
Contemporary Clinical Neuroscience;LS & HS
Contemporary Clinical Trials;HS
Contemporary Clinical Trials Communications;LS & HS
Contemporary Concepts of Condensed Matter Science;PS
Contemporary crises;SSH & HS
Contemporary Drug Problems;SSH & HS
Contemporary Economic Policy;SSH
Contemporary Economics;SSH
Contemporary Education Dialogue;SSH
Contemporary Educational Psychology;SSH
Contemporary Educational Research Quarterly;SSH
Contemporary Educational Technology;SSH
Contemporary Endocrinology;LS & HS
Contemporary Engineering Sciences;SSH & PS
Contemporary European History;SSH
Contemporary Family Therapy;SSH
Contemporary French and Francophone Studies;SSH
Contemporary French Civilization;SSH
Contemporary Hypnosis;SSH & HS
Contemporary Hypnosis and Integrative Therapy;SSH & HS
Contemporary Islam;SSH
Contemporary Issues in Early Childhood;SSH
Contemporary Issues in Entrepreneurship Research;SSH
Contemporary Issues in International Arbitration and Mediation: The Fordham Papers;SSH
Contemporary Italian Politics;SSH
Contemporary Japan;SSH
Contemporary Jewry;SSH
Contemporary Justice Review;SSH
Contemporary Levant;SSH
Contemporary Literature;SSH
Contemporary longterm care;HS
Contemporary Management Research;SSH & PS
Contemporary Mathematics;PS
Contemporary Mathematics and its Applications;PS
Contemporary Music Review;SSH
Contemporary Nurse;HS
Contemporary Ob/Gyn;HS
Contemporary Organic Synthesis;PS
Contemporary Pacific;SSH
Contemporary Pediatrics;HS
Contemporary Perspectives in Family Research;SSH
Contemporary Physics;PS
Contemporary Policy Issues;HS
Contemporary Political Theory;SSH
Contemporary Politics;SSH
Contemporary Pragmatism;SSH
Contemporary Problems of Ecology;PS
Contemporary Psychoanalysis;SSH & HS
Contemporary Readings in Law and Social Justice;SSH
Contemporary Rehab;HS
Contemporary Review of the Middle East;SSH
Contemporary Reviews in Obstetrics and Gynaecology;HS
Contemporary Security Policy;SSH
Contemporary Social Science: Journal of the Academy of Social Sciences;SSH
Contemporary Sociology;SSH
Contemporary South Asia;SSH
Contemporary Southeast Asia;SSH
Contemporary Southeastern Europe;SSH
Contemporary Studies in Economic and Financial Analysis;SSH
Contemporary Theatre Review;SSH
Contemporary Topics in Laboratory Animal Science;LS & HS
Contemporary Trends and Issues in Science Education;SSH
Contemporary Urology;HS
Contemporary Voice of Dalit;SSH
Contemporary Women's Writing;SSH
Contention;SSH
Context Magazine;SSH
Contexto;SSH & PS
Con-textos Kantianos;SSH
Continental Philosophy Review;SSH
Continental Shelf Research;LS & PS
Continuing Education in Anaesthesia, Critical Care and Pain;HS
Continuing Education in Radiologic Technology;HS
Continuing Medical Education - Cardiology;HS
Continuity and Change;SSH
Continuity in Education;SSH & HS
Continuum;SSH
Continuum (Society for Social Work Administrators in Health Care);HS
CONTINUUM Lifelong Learning in Neurology;HS
Continuum Mechanics and Thermodynamics;PS
Contraception;HS
Contraception Fertilite Sexualite;HS
Contraception Report;HS
Contraception: X;HS
Contraceptive technology update;HS
Contract (New York, N.Y. : 1960);HS
Contract design;HS
Contract interiors;HS
Contract Pharma;LS & SSH
Contradictions;SSH
Contrast Media and Molecular Imaging;HS
Contrastes;SSH
Contrastive Pragmatics;SSH
Contratexto;SSH
Contributii Botanice;LS & PS
Contribution - University of California, Water Resources Center;PS
Contributions of the Astronomical Observatory Skalnate Pleso;PS
Contributions of the Geophysical Institute, Slovak Academy of Sciences;PS
Contributions of the Geophysical Institute, Slovak Academy of Sciences, Series of Meteorology;PS
Contributions to Asian Studies;PS
Contributions to Atmospheric Physics;PS
Contributions to Conflict Management, Peace Economics and Development;SSH
Contributions to Discrete Mathematics;PS
Contributions to Economic Analysis;SSH
Contributions to Economic Analysis and Policy;SSH
Contributions to Economics;SSH
Contributions to Geology - University of Wyoming, Laramie;PS
Contributions to Geophysics and Geodesy;PS
Contributions to Gynecology and Obstetrics;HS
Contributions to Human Development;SSH
Contributions to Indian Sociology;SSH
Contributions to Macroeconomics;SSH
Contributions to Management Science;SSH
Contributions to microbiology;LS & HS
Contributions to microbiology and immunology;HS
Contributions to Mineralogy and Petrology;PS
Contributions to Nephrology;HS
Contributions to Oncology / Beitrage zur Onkologie;LS & HS
Contributions To Phenomenology;SSH
Contributions to Plasma Physics;PS
Contributions to Political Economy;SSH
Contributions to Sedimentary Geology;PS
Contributions to the History of Concepts;SSH
Contributions to Theoretical Economics;SSH
Contributions to Zoology;LS
Control (Chicago, Ill);PS
Control and computers;PS
Control and Cybernetics;PS
Control and Dynamic Systems;PS
Control and Instrumentation;PS
Control and Intelligent Systems;PS
Control Engineering;PS
Control Engineering and Applied Informatics;PS
Control Engineering Practice;PS
Control Solutions International;PS
Control Theory and Technology;PS
Controle and Automacao;PS
Controlled Clinical Trials;LS
Convergence;SSH
Convergences Medicales;HS
Convergencia;SSH
Converter;PS
Converting Magazine;PS
Converting Today;PS
Convivium;SSH
Convivium (Czech Republic);SSH
Convulsive Therapy;HS
Cooperation and Conflict;SSH
Coordination Chemistry Reviews;PS
COPD Research and Practice;HS
COPD: Journal of Chronic Obstructive Pulmonary Disease;HS
Copeia;LS
Copenhagen Journal of Asian Studies;SSH
Copenhagen Papers in East & Southeast Asian Studies;PS
Cor et Vasa;HS
Cor Europaeum - European Journal of Cardiac Interventions;HS
Coral Reefs;LS
Core Evidence;LS & HS
Corella;LS
Cormorant;PS
Cornea;HS
Cornell Engineering Quarterly;PS
Cornell Hospitality Quarterly;SSH
Cornell Hotel and Restaurant Administration Quarterly;SSH
Cornell International Law Journal;SSH
Cornell Journal of Law and Public Policy;SSH
Cornell Law Review;SSH
Coronary Artery Disease;HS
Coronary Health Care;HS
Corpora;SSH
Corporate Board: Role, Duties and Composition;SSH
Corporate Communications;SSH
Corporate Environmental Strategy;SSH & PS
Corporate Governance;SSH
Corporate Governance (Bingley);SSH
Corporate Governance and Organizational Behavior Review;SSH
Corporate Ownership and Control;SSH
Corporate Reputation Review;SSH
Corporate Social Responsibility and Environmental Management;SSH & PS
Corps and Psychisme;SSH & HS
Corpus Linguistics and Linguistic Theory;SSH
Corpus Pragmatics;SSH & PS
Correo poblacional y de la salud / Centro de Estudios de Poblacion y Paternidad Responsable;HS
Correspondances en MHND;LS & HS
Corrosion;PS
Corrosion and Coatings;PS
Corrosion and Materials;PS
Corrosion and Protection;PS
Corrosion Engineering;PS
Corrosion Engineering Science and Technology;PS
Corrosion Management;PS
Corrosion Prevention and Control;PS
Corrosion Reviews;PS
Corrosion Science;PS
Corrosion Science and Protection Technology;PS
Corrosion Science and Technology;PS
Corrosion Series;PS
Corrugated and Carton Packaging Bulletin;PS
Cortex;LS & SSH
Corvinus Journal of Sociology and Social Policy;SSH
Cosmetic Dermatology;HS
Cosmetics;LS, PS & HS
Cosmetologica;HS
Cosmic Research (English translation of Kosimicheskie Issledovaniya);PS
Cosmopolitan Civil Societies;SSH
